# Attractions: id,name,x,y,attractiveness
0,Rynek Glowny,61.9,59.6,0.99
1,Hala Targowa,62.4,85.2,1.00
2,Ostrow Tumski,53.1,55.0,0.36
3,Zoo Wroclaw,56.0,53.8,0.60
4,Sky Tower,28.8,70.1,0.25
5,Hala Stulecia,40.9,87.3,0.59
6,Panorama Raclawicka,33.0,64.6,0.56
7,Ossolineum,34.7,81.4,0.17
8,Hydropolis,32.0,73.1,0.37
9,Afrykarium,45.1,87.3,0.27
10,Aquapark,63.4,85.8,0.89
11,Katedra Wroclawska,33.6,75.0,0.39
12,Ratusz,47.5,56.3,0.50
13,Nowy Targ,38.1,52.1,0.13
14,Plac Solny,64.2,79.9,0.93
15,Wyspa Slodowa,45.0,87.9,0.17
16,Opera Wroclawska,38.2,77.6,0.19
17,Filharmonia,34.1,54.2,0.11
18,Teatr Polski,53.2,85.8,0.38
19,Dworzec Glowny,55.5,45.2,0.12
20,Uniwersytet Wroclawski,64.7,88.9,0.67
21,Stadion Miejski,26.3,68.3,0.78
22,Park Szczytnicki,22.0,76.3,0.40
23,Ogrod Botaniczny,37.3,65.9,0.55
24,Most Grunwaldzki,26.0,71.4,0.63
25,Galeria Dominikanska,39.8,79.9,0.19
26,Wzgorze Partyzantow,33.9,56.8,0.90
27,Cmentarz Osobowicki,27.2,50.9,0.34
28,Synagoga Pod Bialym Bocianem,38.8,69.7,0.47
29,Zamek Krolewski,44.2,50.0,0.72
30,Muzeum Narodowe,45.6,69.8,0.29
31,Muzeum Miejskie,27.2,85.5,0.65
32,Muzeum Architektury,59.3,46.8,0.84
33,Muzeum Etnograficzne,33.7,67.7,0.79
34,Centrum Historii,64.3,79.7,0.79
35,Park Poludniowy,30.3,54.0,0.97
36,Park Grabiszynski,54.7,75.6,0.52
37,Fontanna Multimedialna,52.7,72.2,0.34
38,Kosciol sw Elzbiety,40.9,82.3,0.89
39,Kosciol sw Doroty,56.5,71.7,0.42
40,Kosciol sw Krzysztofa,32.5,63.7,0.62
41,Biblioteka Uniwersytecka,51.5,72.3,0.82
42,Brama Tumska,20.2,77.5,0.62
43,Bulwar Xawerego Dunikowskiego,54.2,63.2,0.92
44,Galeria Foto-Medium-Art,62.9,76.9,0.43
45,Muzeum Maly,23.8,50.7,0.79
46,Kaplica Brochow,25.1,82.2,0.55
47,Kino Sepolno,55.3,65.6,0.99
48,Park Swojczyce,21.9,77.8,0.84
